country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Belgium,2016,920510,Brass-wind instruments,Export,571297,3966.0,Number of items,4135.0,92_musical_instruments_parts_and_accessories
Guatemala,2008,660200,Walking-sticks, seat-sticks, whips, etc.,Export,35022,5575.0,Number of items,10089.0,66_umbrellas_walking_sticks_seat_sticks_whips_etc
Barbados,2006,220210,Beverage waters, sweetened or flavoured,Re-Export,81058,44458.0,Volume in litres,24113.0,22_beverages_spirits_and_vinegar
Tunisia,2016,780411,Lead foil of a thickness <2mm,Import,4658,121.0,Weight in kilograms,121.0,78_lead_and_articles_thereof
Lithuania,1996,560110,Sanitary towels, diapers and similar articles,Export,76499,5419.0,Weight in kilograms,5419.0,56_wadding_felt_nonwovens_yarns_twine_cordage_etc
Denmark,2011,310100,Animal or vegetable fertilizers, in packs >10 kg,Export,4903675,19028440.0,Weight in kilograms,19028440.0,31_fertilizers
Thailand,1994,920290,String musical instruments nes,Import,2088672,0.0,Number of items,59595.0,92_musical_instruments_parts_and_accessories
Portugal,2004,511119,Woven fabric, >85% carded wool or fine hair, >300 g/m,Export,1546575,87367.0,Weight in kilograms,87367.0,51_wool_animal_hair_horsehair_yarn_and_fabric_thereof
Congo,2011,420690,Articles of gut, goldbeater skin, bladder, tendons ne,Export,883,9.0,Weight in kilograms,9.0,42_articles_of_leather_animal_gut_harness_travel_good
Antigua and Barbuda,2016,620332,Mens, boys jackets & blazers, of cotton, not knit,Export,12988,1403.0,Number of items,648.0,62_articles_of_apparel_accessories_not_knit_or_crochet
Pakistan,2016,920999,Parts and accessories for the musical instruments nes,Export,359131,66284.0,Weight in kilograms,66284.0,92_musical_instruments_parts_and_accessories
Albania,2013,610322,Mens, boys ensembles, of cotton, knit,Import,180103,13031.0,Number of items,25763.0,61_articles_of_apparel_accessories_knit_or_crochet
Azerbaijan,1998,721119,Hot rolled iron or non-alloy steel, w <600mm, t<3mm myp275/t>3mm myp355,Import,6239,64941.0,Weight in kilograms,64941.0,72_iron_and_steel
Antigua and Barbuda,2009,511120,Woven fabric, carded wool or hair + manmade filament,Import,1482,30.0,Weight in kilograms,30.0,51_wool_animal_hair_horsehair_yarn_and_fabric_thereof
Namibia,2003,50900,Sponges, natural, of animal origin,Export,6349,6750.0,Weight in kilograms,6750.0,05_products_of_animal_origin_nes
Germany,1991,950330,Construction sets and constructional toys, nes,Export,29924000,2649521.0,Weight in kilograms,2649521.0,95_toys_games_sports_requisites
Central African Rep.,2008,220290,Non-alcoholic beverages nes, except fruit, veg juices,Import,32470,30725.0,Volume in litres,30725.0,22_beverages_spirits_and_vinegar
